GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Weather Fetcher,com.moosemorals.weather.types,DailyForecast,0,45,0,0,0,16,0,8,0,8
Weather Fetcher,com.moosemorals.weather.types,HourlyForecast.Builder,0,252,0,0,0,73,0,37,0,37
Weather Fetcher,com.moosemorals.weather.types,HourlyForecast,36,177,0,0,12,60,12,24,12,24
Weather Fetcher,com.moosemorals.weather.types,Current,15,90,0,0,5,31,5,13,5,13
Weather Fetcher,com.moosemorals.weather.types,Location.Builder,0,22,0,0,0,7,0,4,0,4
Weather Fetcher,com.moosemorals.weather.types,Astronomy,0,27,0,0,0,10,0,5,0,5
Weather Fetcher,com.moosemorals.weather.types,Current.Builder,0,127,0,0,0,37,0,19,0,19
Weather Fetcher,com.moosemorals.weather.types,Location,0,15,0,0,0,6,0,3,0,3
Weather Fetcher,com.moosemorals.weather.types,DailyForecast.Builder,0,57,0,0,0,17,0,9,0,9
Weather Fetcher,com.moosemorals.weather.types,Astronomy.Builder,0,36,0,0,0,11,0,6,0,6
Weather Fetcher,com.moosemorals.weather.reports,WeatherReport.Builder,0,67,0,0,0,18,0,8,0,8
Weather Fetcher,com.moosemorals.weather.reports,ErrorReport,18,18,0,0,6,7,2,3,2,3
Weather Fetcher,com.moosemorals.weather.reports,FetchResult,34,0,2,0,11,0,7,0,6,0
Weather Fetcher,com.moosemorals.weather.reports,WeatherReport,0,39,0,0,0,14,0,7,0,7
Weather Fetcher,com.moosemorals.weather.reports,FetchResult.Builder,36,0,0,0,11,0,6,0,6,0
Weather Fetcher,com.moosemorals.weather,Fetcher,342,0,30,0,70,0,20,0,5,0
Weather Fetcher,com.moosemorals.weather,Util,39,67,3,9,9,13,4,5,2,1
Weather Fetcher,com.moosemorals.weather,Fetcher.Builder,103,0,4,0,31,0,13,0,11,0
Weather Fetcher,com.moosemorals.weather.xml,BaseParser,191,165,5,14,18,41,6,18,1,13
Weather Fetcher,com.moosemorals.weather.xml,WeatherParser,84,1556,93,269,21,243,93,166,0,10
Weather Fetcher,com.moosemorals.weather.xml,ErrorParser,9,67,4,10,2,14,4,6,0,2
